 ************************************************************************************************************************************
************************************************************************************************************************************
************************************************************************************************************************************
****************                                                                                                    ****************
****************          *  Ab initio dipole moment parameters of NH3 describing the projection                    ****************
****************          *  of the dipole moment on the three N-H_i molecular bonds                                ****************
****************          *  see J.Chem.Phys. 122, 104317 (2005).                                                   ****************
****************          *  N atom is at the center of coordinates, its coordinates are not given.                 ****************
****************                                                                                                    ****************
************************************************************************************************************************************
************************************************************************************************************************************
************************************************************************************************************************************

        0. <= Molecular charge is 


 Dipole moment expansion coefficients:
  alphae   =         120.000  re14     =           0.000  beta     =           1.093
  gamma1   =           0.000  gamma2   =           0.000  gamma3   =           0.000
  F1       =           8.701  F3       =          -4.632  F4       =           0.218
  F5       =           0.515  F11      =         -43.749  F13      =          -4.960
  F14      =           3.219  F16      =           8.196  F23      =           0.416
  F33      =          29.712  F34      =          -0.196  F35      =          -5.290
  F36      =           0.554  F44      =          -0.526  F46      =          -0.433
  F55      =          -0.196  F56      =           0.682  F111     =          97.517
  F112     =           1.734  F114     =          -5.250  F115     =          -9.840
  F123     =           1.707  F124     =           2.403  F133     =          12.080
  F135     =           0.000  F136     =          -0.689  F144     =          -0.645
  F146     =          -4.135  F155     =          -3.868  F156     =          -6.144
  F223     =          -0.794  F225     =          -2.045  F226     =           8.953
  F234     =          -1.961  F235     =           0.000  F245     =           0.000
  F246     =           2.967  F255     =           0.000  F256     =           1.360
  F266     =           3.421  F333     =         -73.524  F334     =          -2.101
  F344     =           0.488  F444     =           0.351  F445     =           0.385
  F456     =           0.000  F466     =           0.495  F555     =           0.000
  F556     =          -0.053  F1111    =         -93.573  F1112    =           0.000
  F1114    =           4.836  F1115    =          11.909  F1122    =           9.699
  F1123    =           0.000  F1124    =          -2.625  F1126    =          -1.802
  F1136    =          -3.645  F1144    =           0.000  F1146    =           3.268
  F1155    =          -0.995  F1156    =           6.649  F1222    =         -26.838
  F1225    =           0.000  F1233    =           0.000  F1234    =           0.000
  F1235    =           0.000  F1244    =           0.000  F1245    =           2.565
  F1246    =           0.000  F1256    =           1.120  F1334    =          -4.636
  F1335    =           0.000  F1355    =           3.787  F1366    =           0.518
  F1444    =           0.000  F1445    =           0.332  F1456    =           3.019
  F1466    =          -0.579  F1566    =           0.526  F1666    =           1.304
  F2222    =          76.405  F2224    =           7.458  F2225    =           6.491
  F2233    =           0.000  F2244    =           0.000  F2245    =          -3.135
  F2246    =          -1.734  F2255    =           0.500  F2256    =          -1.061
  F2266    =          -2.639  F2333    =           0.000  F2334    =           0.000
  F2335    =           3.761  F2336    =          -2.446  F2344    =           0.000
  F2345    =           2.723  F2356    =          -2.866  F2366    =          -0.954
  F2444    =          -0.223  F2445    =           0.000  F2455    =           0.000
  F2456    =          -1.026  F2466    =          -0.744  F3335    =         -15.177
  F3445    =          -0.745  F3555    =          -0.650  F3556    =          -0.351
  F3566    =           0.000  F3666    =           0.000  F4444    =          -0.090
  F4445    =          -0.054  F4456    =           0.000  F4466    =          -0.025
  F4555    =          -0.070  F4556    =          -0.215  F5566    =           0.000
  F5666    =           0.062  F6666    =           0.000  RhoE     =          90.000
  RE14     =           0.000  beta     =           1.000  d0       =          -4.116
  f1a      =         -35.463  f2a      =          -9.217  f3a      =        1486.377
  f4a      =       -5891.653  f5a      =       10295.154  f6a      =       -9190.281
  f7a      =        3174.068  f8a      =          12.917  f1a1     =         133.497
  f2a1     =        -522.794  f3a1     =       -1027.277  f4a1     =        5955.559
  f5a1     =       -9638.488  f6a1     =        8465.652  f0a11    =        -199.738
  f1a11    =         433.343  f2a11    =        -900.376  f3a11    =        1695.542
